"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 16:55:17 GMT 2024","Wed Apr 03 16:55:18 GMT 2024","297","","Меню навигации","","","","Пункты меню должны иметь иконки",""
"passed","Wed Apr 03 16:55:19 GMT 2024","Wed Apr 03 16:55:20 GMT 2024","576","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Wed Apr 03 16:55:12 GMT 2024","Wed Apr 03 16:55:13 GMT 2024","605","","Работа с активностями","","","","Удаление всех активностей",""
"passed","Wed Apr 03 16:55:14 GMT 2024","Wed Apr 03 16:55:14 GMT 2024","298","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" c указанием времени",""
"passed","Wed Apr 03 16:55:17 GMT 2024","Wed Apr 03 16:55:17 GMT 2024","440","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
"passed","Wed Apr 03 16:55:15 GMT 2024","Wed Apr 03 16:55:15 GMT 2024","438","","Форма добавления активности","","","","Отображение формы добавления активности",""
"passed","Wed Apr 03 16:55:18 GMT 2024","Wed Apr 03 16:55:19 GMT 2024","757","","Меню навигации","","","","Навигация по пунктам меню",""
"passed","Wed Apr 03 16:55:15 GMT 2024","Wed Apr 03 16:55:16 GMT 2024","527","","Форма добавления активности","","","","Добавление активности",""
"passed","Wed Apr 03 16:55:16 GMT 2024","Wed Apr 03 16:55:17 GMT 2024","507","","Header","","","","При клике на logo должен быть выполнен переход на страницу timeline",""
"passed","Wed Apr 03 16:55:13 GMT 2024","Wed Apr 03 16:55:13 GMT 2024","701","","Работа с активностями","","","","Отображение активности в выпадающем списке временного интервала после добавления",""
"passed","Wed Apr 03 16:55:15 GMT 2024","Wed Apr 03 16:55:15 GMT 2024","457","","Форма добавления активности","","","","Кнопка ""Add an activity"" доступна после заполнения поля",""
"passed","Wed Apr 03 16:55:17 GMT 2024","Wed Apr 03 16:55:17 GMT 2024","507","","Header","","","","При клике на progress должен быть выполнен переход на стрнаицу progress",""
"passed","Wed Apr 03 16:55:19 GMT 2024","Wed Apr 03 16:55:19 GMT 2024","469","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Wed Apr 03 16:55:10 GMT 2024","Wed Apr 03 16:55:13 GMT 2024","3216","","Работа с активностями","","","","Сброс активности в интервале на странице ""Timeline"" после удалении активности",""
"passed","Wed Apr 03 16:55:20 GMT 2024","Wed Apr 03 16:55:20 GMT 2024","568","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Wed Apr 03 16:55:13 GMT 2024","Wed Apr 03 16:55:14 GMT 2024","325","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" без указания времени",""
